act,rus_prompt
Password Generator_1,"Я хочу, чтобы вы выступили в роли генератора паролей для людей, нуждающихся в надежном пароле. Я предоставлю вам формы ввода, включающие «длину», «заглавные», «строчные», «цифры» и «специальные» символы. Ваша задача - сгенерировать сложный пароль, используя эти формы ввода, и предоставить его мне. Мое первое предложение: «Длина формы ввода = 12, заглавные = 2, строчные = 6, цифры = 3, специальные = 1»"
Password Generator_2,"Мне нужен безопасный пароль. Используйте параметры: «Длина = 10, заглавные = 3, строчные = 4, цифры = 2, специальные = 1». Просто предоставьте сгенерированный пароль"
Password Generator_3,"Пожалуйста, создайте пароль на основе следующих данных: «Длина = 15, заглавные = 4, строчные = 6, цифры = 3, специальные = 2». Объясните, как эти параметры влияют на безопасность пароля"
Password Generator_4,"Сгенерируйте сложный пароль, учитывая параметры: «Длина = 8, заглавные = 2, строчные = 4, цифры = 1, специальные = 1». Никаких объяснений не нужно, просто предоставьте пароль"
Journalist_1,"Я хочу, чтобы вы выступили в роли журналиста и написали статью о проблемах загрязнения воды в развивающихся странах. Исследуйте причины, последствия и возможные решения этой проблемы"
Journalist_2,"Напишите репортаж о влиянии изменения климата на сельское хозяйство в мире. Используйте конкретные примеры из разных стран, такие как засуха в Африке, изменения урожайности в Азии и методы адаптации в Европе. Осветите последние исследования и дайте прогнозы на будущее"
Journalist_3,"Создайте тематическую статью о роли социальных медиа в современных протестных движениях, таких как протесты в Иране и Гонконге. Обсудите, как платформы способствуют организации протестов, освещению событий и цензуре, а также рассмотрите положительные и отрицательные аспекты их использования"
Journalist_4,"Напишите аналитическую статью о влиянии искусственного интеллекта на рынок труда в разных секторах, таких как здравоохранение, производство и IT. Используйте данные последних исследований, мнения экспертов из Deloitte и McKinsey, а также приведите прогнозы о создании и исчезновении рабочих мест"
Essay Writer_1,"Я хочу, чтобы вы выступили в роли автора эссе. Вам нужно будет изучить заданную тему, сформулировать тезисы и создать убедительное произведение, которое будет одновременно информативным и увлекательным. Первое предложение звучит так: «Напишите эссе о преимуществах внедрения возобновляемых источников энергии в нашу жизнь»"
Essay Writer_2,"Напишите эссе на тему «Как технологии изменили наше общество». Приведите конкретные примеры из разных сфер, таких как образование, здравоохранение и коммуникации, чтобы подкрепить вашу точку зрения"
Essay Writer_3,"Создайте эссе на тему «Роль образования в преодолении социальных неравенств». Обсудите значение равного доступа к образованию, приведите примеры успешных инициатив и предложите возможные пути улучшения"
Essay Writer_4,"Напишите эссе о том, почему важно сохранять культурное наследие. Укажите, как это влияет на наше чувство идентичности, и приведите примеры из истории, демонстрирующие его значимость для общества"
Social Media Influencer_1,"Создайте креативную кампанию в Twitter для продвижения нового приложения для фитнеса. Включите хэштеги и призывы к действию"
Social Media Influencer_2,"Напишите сценарий для рекламного ролика на YouTube, продвигающего экологически чистые продукты. Включите вдохновляющую историю о том, как использование этих продуктов помогает природе, и предложите интерактивный элемент, например, призыв к подписке на инициативу или участие в челлендже"
Social Media Influencer_3,"Создайте подробный план для серии Instagram Stories, продвигающих новую коллекцию косметики. Предложите идеи для визуалов, такие как демонстрация процесса нанесения макияжа, отзывы пользователей, и напишите текст для каждой Stories, включая хэштеги и призывы к действию"
Social Media Influencer_4,"Напишите сценарий для TikTok-видео, которое продвигает новый онлайн-курс по программированию. Укажите, как использовать трендовые звуки, добавьте забавный мем или relatable ситуацию, связанную с изучением кода, и завершите видео призывом к регистрации на курс"
Socrat_1,"Давайте обсудим понятие свободы воли. Какие вопросы мы можем задать, чтобы глубже понять эту тему с философской точки зрения?"
Socrat_2,"Давайте исследуем понятие красоты. Какие критерии или качества делают вещь красивой? Как культурные, личные и исторические факторы влияют на наше восприятие красоты? Можете привести примеры из искусства, природы или повседневной жизни?"
Socrat_3,"Обсудим добродетель. Является ли добродетель врожденной чертой, или она формируется через опыт и воспитание? Какие вопросы можно задать, чтобы глубже исследовать это, например, как разные философы определяют добродетель?"
Socrat_4,"Рассмотрим понятие истины. Как различать истину и ложь с помощью вопросов? Какие методы, например, логические аргументы или эмпирические доказательства, можно использовать для этого? Можете привести примеры ситуаций, где истина спорна?"
Tech Reviewer_1,"Напишите руководство о том как создать новый документ в текстовом редакторе: «1. Нажмите кнопку "Создать файл" 2. Выберите шаблон. 3. Введите текст в заданное поле». Объясните эти шаги в увлекательной и понятной манере"
